,irreps_type,tensor_product_type,lmax,Time,GFLOPs/s (min),GFLOPs/s (mean),GFLOPs/s (max),Total GFLOPs/s,GB/s (min),GB/s (mean),GB/s (max),Total GB/s
54,SIMO,GTP-grid,2,3.3791999979579585e-05,2.0096696720522043,33.381260960924756,132.49454336685292,34.94664492560523,2.0135538997501135,11.726309086026935,30.368876953916626,8.805231619867321
55,SIMO,GTP-grid,3,3.670401404381306e-05,2.044927034714053,33.461571501361355,120.6653072786089,34.40918930713091,2.7298858953174205,21.091244588596748,70.83695946318097,16.08012660036034
56,SIMO,GTP-grid,4,4.201598595845389e-05,2.0271476542088736,62.558713574546864,241.2730846000699,59.54898392838876,3.845586131019518,45.65908995898286,185.18991195238195,26.621790214824717
57,SIMO,GTP-grid,5,4.6143990627419486e-05,2.0096722262341133,65.39275403910639,240.03528926367693,58.84787640460954,4.6760966089461,66.98411269254983,286.83561362138016,45.765278114832775
58,SIMO,GTP-grid,6,6.422400463671353e-05,2.100195332952659,78.4732865497879,263.5151131791623,47.07842235351399,5.385639970423654,22.39417606864311,50.62502711566165,25.329002363082854
59,SIMO,GTP-grid,7,7.139200000015043e-05,2.0630237341501085,80.57353006390626,262.03725220901623,48.1510677648147,6.320523916427046,26.994370174305516,66.80770369377919,33.91333301730258
60,SIMO,GTP-grid,8,8.051200462120819e-05,2.081443588923003,100.32272091496719,395.24105698560265,64.21776016183009,10.274231908805668,33.83669898227013,88.55280200130306,44.54357190233237
61,SISO,CGTP-dense,2,3.360004684526424e-06,0.1039421067146604,0.1039421067146604,0.1039421067146604,0.1039421067146604,0.4168777238763869,0.4168777238763869,0.4168777238763869,1.4191562303441636
62,SISO,CGTP-dense,4,5.216000000022743e-06,1.3046729395486252,1.3046729395486252,1.3046729395486252,1.3046729395486252,1.8397906075231731,1.8397906075231731,1.8397906075231731,1.165581627121038
63,SISO,CGTP-dense,6,6.8799999999836e-06,1.5852788766493993,1.5852788766493993,1.5852788766493993,1.5852788766493993,3.2444679459836334,3.2444679459836334,3.2444679459836334,1.6807123672170559
64,SISO,CGTP-dense,8,7.040004663324129e-06,2.6271481190405646,2.6271481190405646,2.6271481190405646,2.6271481190405646,6.057830019434914,6.057830019434914,6.057830019434914,3.1834277826976254
65,SISO,CGTP-sparse,2,1.2959990556050039e-05,0.006761506071190757,0.010098417221865124,0.01577592968186252,0.010204313423180811,0.03725290298461914,0.04553572180215269,0.06963159436360002,1.002609724508582
66,SISO,CGTP-sparse,4,2.6688004677655706e-05,0.01367880031466484,0.019740695934454572,0.02754466053131511,0.01989110366033754,0.0527163721434772,0.05990249909111299,0.0997845615632832,1.1122267646706632
67,SISO,CGTP-sparse,6,4.1152009457217034e-05,0.02025851932241467,0.02892776178371873,0.03798301271071788,0.029103823768330275,0.06712234771810471,0.07488634723781917,0.12628102706745267,1.2601095703115317
68,SISO,CGTP-sparse,8,5.6192009396996595e-05,0.026585229744247804,0.03774597797591474,0.048586559935947765,0.03795430558109634,0.08169496268965304,0.089785011781496,0.15393761564046143,1.3980443599897985
69,SISO,GTP-fourier,1,4.031902875627537e-05,0.0,0.4135103058304734,1.6919505270261372,0.522310846932976,0.008955024760216474,0.7464209733655055,1.6444395734928547,1.5108485705020385
70,SISO,GTP-fourier,2,5.3280099939565715e-05,0.0,2.848063542860966,12.369143299458452,2.219508134716515,0.015393761564046144,6.42323294415671,20.082132155150177,3.490355534433229
71,SISO,GTP-fourier,3,9.103926334648902e-05,0.0,61.755639193819825,370.75546354530235,224.72496347414528,0.014901161193847656,19.51358989825871,78.5244262124598,6.7029579412121105
72,SISO,GTP-fourier,4,0.0001343363529041084,0.0,127.49149037848714,749.7750920367033,448.25356491522297,0.015393761564046144,45.2875115806636,187.6737530294247,11.52370003085815
73,SISO,GTP-fourier,5,0.0001699822490046272,0.0,206.3006087308665,1193.3906816686124,812.5643600076835,0.014110948098823429,74.89963478153437,315.1989613588061,22.218724211873685
74,SISO,GTP-fourier,6,0.00021833429760355973,0.0,304.6710030193066,1838.4443411824618,1278.555999839197,0.021327997893095016,95.54127061023642,337.30000873561016,38.72410219053812
75,SISO,GTP-fourier,7,0.00030131425044572206,0.0,378.4915188673639,2489.8735385039445,1665.3626270322998,0.014551915228366852,61.06218463730333,200.87090765828268,24.983708585659308
76,SISO,GTP-fourier,8,0.000352418748172814,0.0,527.9022077044681,3300.72210933984,2419.4614638098346,0.022174347015097736,97.0221163459761,263.1120360948704,35.50888037448232
77,SISO,GTP-grid,1,2.4447990607593494e-05,0.4056350514718383,38.14698124973716,131.69081849492505,46.412818135438016,1.1868181481864304,5.644047662254423,15.484250110127032,5.52454912262133
78,SISO,GTP-grid,2,2.4351981254287657e-05,1.0619812962476924,38.72598829818311,132.4662803368004,46.93931344953997,1.9822645624820143,6.998621683904901,15.484250110127032,6.172923367254472
79,SISO,GTP-grid,3,2.4896004742253238e-05,2.0630237341420132,39.680501835137065,133.25042053472612,46.496465205229796,2.7679773264192047,8.72052863121964,15.7583076342009,6.83767806284201
80,SISO,GTP-grid,4,2.6271995351253496e-05,1.9924930081930485,48.33658377741756,131.73285822032963,58.663761284887855,3.8445919505786152,10.843307103823872,16.449691628562288,7.464194427915001
81,SISO,GTP-grid,5,2.662400465776574e-05,2.0630237341437416,49.2992105763901,133.27896107643582,58.65799045111845,4.648947666706517,13.39606379586831,24.192473467662932,8.507272029807849
82,SISO,GTP-grid,6,2.6336004715622268e-05,2.044924395888335,50.136253985026954,131.00825799385998,60.31242640207303,5.472482235962525,16.67207686049118,35.36040775286965,9.96277336423882
83,SISO,GTP-grid,7,2.643199062160134e-05,1.975609935992851,51.79479605140479,132.5369370187747,61.20040907788741,6.271935844812543,20.005502451479433,46.030618250370026,11.455497234155732
84,SISO,GTP-grid,8,3.0528004695992425e-05,2.08144086801935,76.60192756551523,268.0812284161964,93.27681654350143,10.52584575147368,26.460579287206443,59.069134294986725,15.026116209017243
