,irreps_type,tensor_product_type,lmax,batch,Time,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
82,SIMO,CGTP-dense,3,128,2.195200477464843e-05,3.6399742105755664,10.508969603471826,14.14894381404739,9.701536941200029
83,SIMO,GTP-fourier,3,1,9.107362455220036e-05,0.0,67.96604984880823,67.96604984880823,31.472822438168027
84,MIMO,CGTP-dense,2,1,3.564797653667349e-05,0.0,1.6763474877980113,1.6763474877980113,1.671439615265865
85,MIMO,GTP-fourier,6,1,0.0002156160510368833,0.0,353.7826471375267,353.7826471375267,152.41373840416625
86,MIMO,GTP-grid,8,1,8.617599065030973e-05,66.53547401443407,49.15274242475305,115.68821643918714,62.14540522691018
87,MIMO,CGTP-sparse,3,128,0.0005274879859539464,0.0,0.8519743794064453,0.8519743794064453,6.8555832014677485
88,SIMO,CGTP-dense,6,128,2.8256004763246965e-05,0.0,105.17560508076308,105.17560508076308,41.36871037332341
89,SIMO,CGTP-dense,5,128,2.5792000009529734e-05,0.0,63.25292571737853,63.25292571737853,30.726331204010638
90,SISO,GTP-fourier,5,1,0.0001699822490046272,0.0,206.3006087308665,206.3006087308665,108.58710022998976
91,SIMO,GTP-fourier,6,128,0.0010203520594295938,2323.3419072390407,168.02736706609883,2491.3692743051392,691.3560202370862
92,SIMO,CGTP-sparse,6,128,0.00036656007033838365,0.0,2.2220667478736176,2.2220667478736176,21.32376489668312
93,MIMO,GTP-grid,5,1,5.2512000001566037e-05,34.41832119369386,28.17339162425451,62.591712817948384,89.21633665650019
94,MIMO,CGTP-sparse,2,1,0.0001409599810898203,0.0,0.00526186320590454,0.00526186320590454,0.0682269902286921
95,MIMO,GTP-fourier,4,128,0.0002849446400062976,688.1838119278008,101.09279430805346,789.2766062358543,612.7604255506757
96,SIMO,GTP-fourier,5,128,0.0005751998149600922,1647.8145352718454,155.45110820306525,1803.2656434749106,625.3918063666981
97,MIMO,GTP-fourier,5,1,0.00016835799278480472,0.0,237.42324259869164,237.42324259869164,122.98203132841581
98,SIMO,GTP-fourier,4,128,0.00028344574807716077,690.9504756676204,101.59419018268402,792.5446658503045,614.9007096819231
99,SIMO,CGTP-dense,3,1,1.2575995303257203e-05,0.0,0.3101378929723803,0.3101378929723803,0.8569179926936825
100,SIMO,GTP-grid,5,1,4.6143990627419486e-05,39.944473985443445,25.448280053662945,65.39275403910639,93.60977609777358
101,SIMO,CGTP-dense,5,1,3.820799066392613e-05,0.0,1.2669324149028038,1.2669324149028038,2.3561068516615777
