,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
397,MIMO,GTP-fourier,4,10000,17,0.0015361600000000002,3.902994379401207,0.19394731521606445,4576.920548719757,294.35061706124293,4871.2711657810005,404.8385129926896
401,MIMO,CGTP-sparse,1,1000,6,1.9264e-05,0.0002868473529815674,5.1975250244140625e-05,0.0,9.146918143544879,9.146918143544879,2.009756865659905
406,SIMO,CGTP-dense,5,10000,1,5.8176e-05,0.18709059059619904,0.019259333610534668,1834.7706787480975,609.9330223160214,2444.703701064119,337.61720668088606
408,SISO,GTP-grid,6,1000000,1,0.016631744,60.39208333194256,9.710580825805664,1663.137051234627,1888.6267183157859,3551.7637695504127,598.6476302465794
423,SISO,CGTP-sparse,2,10000,1,1.3568e-05,0.0027939677238464355,0.0003838539123535156,0.0,143.13359241016576,143.13359241016576,19.96055600531158
426,MIMO,CGTP-sparse,8,1000,489,0.0029899839999999994,0.4892246797680855,0.08540666103363037,0.0,63.23376324164942,63.23376324164942,20.58201600125024
427,SIMO,GTP-grid,3,1000000,1,0.008782528,27.54623380303383,4.392602801322937,2423.336989117458,905.3372140695213,3328.6742031869794,560.7593835622854
429,SIMO,GTP-fourier,2,1000,1,6.2496e-05,0.037994347512722015,0.0031245946884155273,272.47837611607144,54.776736371623365,327.2551124876948,65.95359509696489
435,MIMO,CGTP-sparse,2,100000,19,0.001138624,0.222865492105484,0.08651304244995117,0.0,97.72187166692648,97.72187166692648,89.90398814801517
437,SIMO,GTP-fourier,5,10000,1,0.0030057919999999998,6.247611865401268,0.29520559310913086,3091.686054136363,180.85663823230763,3272.542692368671,433.54783962878577
440,MIMO,CGTP-dense,2,1000,19,8.934399999999999e-05,0.014303900301456451,0.001223921775817871,0.0,74.14394910930436,74.14394910930436,18.274613940057492
442,SIMO,GTP-fourier,2,10000,1,0.000264704,0.37373314797878265,0.04755973815917969,1238.4159864927854,171.96051605067115,1410.3765025434566,302.7108349757287
444,MIMO,GTP-grid,5,10000,21,0.00030336,1.2414602003991604,0.1302168369293213,2824.1189608601476,470.94125748414353,3295.0602183442907,446.0202580834174
449,MIMO,CGTP-dense,1,10000,6,4.2783999999999996e-05,0.02545437216758728,0.0023061037063598633,0.0,336.163357240547,336.163357240547,59.2833429415002
451,SIMO,GTP-fourier,1,10000,1,0.00010336,0.17614613473415375,0.011995911598205566,1183.371251258417,152.7899728649931,1336.16122412341,160.39243254625603
452,SISO,CGTP-dense,2,1000,1,1.2864e-05,0.002006925642490387,0.00014603137969970703,0.0,113.30700431595704,113.30700431595704,11.07392146381847
